код;направление;форма;места;балл_бюджет;балл_платно;стоимость;предметы_егэ
01.03.02;Прикладная   математика и   информатика;очная;16;244;164;290 000;Информатика, Физика, Русский язык, Математика профиль
05.03.06;Экология и   природопользование;заочная;0;0;0;160 000;География, Математика, Информатика, Физика, Химия, Русский язык
09.03.01;Информатика и   вычислительная   техника;очная;25;240;143;320 000;Информатика, Физика, Русский язык, Математика профиль
09.03.02;Информационные   системы и   технологии;очная;92;246;145;320 000;Информатика, Физика, Русский язык, Математика профиль
09.03.02;Информационные   системы и   технологии;очная;15;251;153;320 000;Информатика, Физика, Русский язык, Математика профиль
13.03.01;Теплоэнергетика и   теплотехника;очная;25;185;184;320 000;Информатика, Физика, Химия, Русский язык, Математика профиль
13.03.01;Теплоэнергетика и   теплотехника;очно-заочная;17;180;157;192 000;Информатика, Физика, Химия, Русский язык, Математика профиль
13.03.01;Теплоэнергетика и   теплотехника;заочная;0;0;0;160 000;Информатика, Физика, Химия, Русский язык, Математика профиль
15.03.02;Технологические   машины и   оборудование;очная;15;203;171;330 000;
15.03.06;Мехатроника и роботехника;очная;14;230;0;330 000;Информатика, Физика, Русский язык, Математика профиль
18.03.01;Химическая   технология;очная;50;196;143;330 000;Математика профиль, Информатика, Физика, Русский язык
20.03.01;Техносферная   безопасность;очная;30;184;154;320 000;Химия, Физика, Информатика, Русский язык, Математика профиль
27.03.01;Стандартизация и   метрология;очная;17;199;0;320 000;
29.03.01;Технология   изделий легкой   промышленности;очная;50;179;0;330 000;Информатика, Физика, Русский язык, Математика профиль
29.03.02;Технологии и   проектирование   текстильных   изделий;очная;45;170;133;330 000;Композиция   по технологии, Русский язык, Математика профиль
29.03.02;Технологии и   проектирование   текстильных   изделий;очная;22;164;157;330 000;Композиция   по технологии, Русский язык, Математика профиль
29.03.03;Технология   полиграфического   и упаковочного   производства;очная;20;219;0;330 000;Химия, Информатика, Физика, Русский язык, Математика профиль
29.03.04;Технология   художественной   обработки   материалов;очная;25;210;139;330 000;Композиция   по технологии, Русский язык, Математика профиль
29.03.04;Технология   художественной   обработки   материалов;очная;0;0;175;330 000;Композиция   по технологии, Русский язык, Математика профиль
29.03.04;Технология   художественной   обработки   материалов;очно-заочная;14;187;147;192 000;Композиция   по технологии, Русский язык, Математика профиль
29.03.04;Технология   художественной   обработки   материалов;очная;13;173;172;330 000;Композиция   по технологии, Русский язык, Математика профиль
29.03.05;Конструирование   изделий легкой   промышленности;очная;80;203;144;320 000;Композиция   по технологии, Русский язык, Математика база
29.03.05;Конструирование   изделий легкой   промышленности;очно-заочная;14;208;168;192 000;Композиция   по технологии, Русский язык, Математика база
33.05.01;Фармация;очная;0;0;129;290 300;Химия, Русский язык, Математика база
37.03.01;Психология;очная;10;253;146;290 000;Обществознание, Математика, Русский язык
37.03.01;Психология;очно-заочная;15;210;175;174 000;Обществознание, Математика, Русский язык
38.03.01;Экономика;очная;5;275;269;290 000;Обществознание, История, Иностранный язык**, Информатика, География, Русский язык, Математика база
38.03.02;Менеджмент;очная;5;269;144;290 000;Обществознание, История, Иностранный язык**, Информатика, Русский язык, Математика база
38.03.02;Менеджмент;очно-заочная;18;234;149;174 000;Обществознание, История, Иностранный язык**, Информатика, Русский язык, Математика база
38.03.04;Государственное   и муниципальное   управление;очная;0;0;144;290 000;Математика, История, Иностранный язык**, Русский язык
38.03.05;Бизнес-информатика;очная;0;0;144;290 000;
38.05.01;Экономическая   безопасность;очная;0;0;139;290 000;Обществознание, История, Информатика, Русский язык, Математика база
39.03.01;Социология;очная;12;264;144;290 000;Математика, История, Иностранный язык**, Русский язык
39.03.01;Социология;заочная;11;232;158;145 000;Математика, История, Иностранный язык**, Русский язык
40.03.01;Юриспруденция;очная;11;269;149;290 000;История, Иностранный язык**, Информатика, Математика, Русский язык
42.03.01;Реклама и связи   с   общественностью;очная;4;286;145;320 000;История, Иностранный язык**, Русский язык, Математика база
42.03.01;Реклама и связи   с   общественностью;заочная;7;264;147;160 000;История, Иностранный язык**, Русский язык, Математика база
42.03.02;Журналистика;очная;0;0;170;340 000;Обществознание, История, Иностранный   язык**, Русский язык, Математика база
42.03.02;Журналистика;очная;3;285;162;340 000;Обществознание, История, Иностранный   язык**, Русский язык, Математика база
42.03.04;Телевидение;очная;3;286;160;340 000;Обществознание, История, Иностранный   язык**, Русский язык, Математика база
43.03.01;Сервис;очная;30;245;143;290 000;История, Математика, Иностранный язык**, География, Русский язык
43.03.01;Сервис;очно-заочная;14;217;180;174 000;История, Математика, Иностранный язык**, География, Русский язык
43.03.01;Сервис;заочная;15;228;138;145 000;История, Математика, Иностранный язык**, География, Русский язык
44.03.01;Педагогическое   образование;очная;0;0;174;270 000;Обществознание, История, Литература, Информатика, Русский язык, Математика база
45.03.01;Филология;очная;6;273;182;275 000;Межкультурная   коммуникация, Русский язык, Математика база
45.03.01;Филология;очная;0;0;151;275 000;Межкультурная   коммуникация, Русский язык, Математика база
45.03.01;Филология;очная;6;273;245;275 000;Межкультурная   коммуникация, Русский язык, Математика база
45.03.02;Лингвистика;очная;6;266;146;290 300;Обществознание, История, Литература, Русский язык, Математика база
50.03.02;Изящные искусства;очная;0;0;147;310 000;Портфолио, Русский язык, Математика база
50.03.02;Изящные искусства;очная;0;0;170;310 000;Портфолио, Русский язык, Математика база
50.03.02;Изящные   искусства;очная;0;0;170;310 000;Портфолио, Русский язык, Математика база
50.03.02;Изящные искусства;очная;0;0;143;310 000;Портфолио, Русский язык, Математика база
50.03.02;Изящные искусства;очная;0;0;145;310 000;Портфолио, Русский язык, Математика база
50.03.02;Изящные искусства;очная;0;0;157;310 000;Портфолио, Русский язык, Математика база
50.03.02;Изящные искусства;очная;0;0;212;310 000;Портфолио, Русский язык, Математика база
50.03.04;Теория   и   история искусств;очная;10;269;171;298 400;Обществознание   (ЕГЭ), История (ЕГЭ), Иностранный язык**(ЕГЭ), Русский язык, Математика база
50.03.04;Теория   и   история   искусств;очная;23;254;144;298 400;Обществознание   (ЕГЭ), История (ЕГЭ), Иностранный язык**(ЕГЭ), Русский язык, Математика база
51.03.01;Культурология;очная;6;215;209;298 400;Литература   (ЕГЭ), История (ЕГЭ), Иностранный язык(ЕГЭ)**, Русский язык, Математика база
51.03.02;Народная   художественная   культура;очная;0;0;0;291 500;Исполнительское мастерство   хореографа***, Русский язык, Математика база
51.03.02;Народная   художественная   культура;очная;0;0;203;291 500;Исполнительское мастерство   хореографа***, Русский язык, Математика база
51.03.02;Народная   художественная   культура;очная;4;310;179;291 500;Исполнительское мастерство   хореографа***, Русский язык, Математика база
52.03.01;Хореографическое   искусство;очная;3;291;272;570 000;Исполнительское мастерство хореографа, Русский язык, Математика база
53.03.01;Музыкальное   искусство эстрады;очная;3;346;0;570 000;Исполнение   сольной программы: музыкальное искусство эстрады***, Русский язык, Математика база
53.03.02;Музыкально-инструментальное   искусство;очная;5;334;0;570 000;Исполнение   сольной программы: инструментальное искусство***, Русский язык, Математика база
53.03.03;Вокальное   искусство;очная;4;351;0;570 000;Исполнение   сольной программы: сольное пение***, Русский язык, Математика база
53.03.05;Дирижирование;очная;1;246;0;570 000;
53.05.01;Искусство   концертного   исполнительства;очная;13;344;261;570 000;Исполнение   сольной программы: инструментальное искусство***, Русский язык, Математика база
53.05.02;Художественное   руководство   оперно-симфоническим   оркестром   и   академическим   хором;очная;5;295;0;570 000;
53.05.04;Музыкально-театральное   искусство;очная;0;0;0;570 000;
54.03.01;Дизайн;очная;48;332;202;570 000;Портфолио, Русский язык, Математика база
54.03.01;Дизайн;очная;6;306;197;570 000;Портфолио, Русский язык, Математика база
54.03.01;Дизайн;очно-заочная;0;0;204;345 000;Портфолио, Русский язык, Математика база
54.03.02;Декоративно-прикладное   искусство   и   народные   промыслы;очная;15;233;0;570 000;Композиция, Русский язык, Математика база
54.03.03;Искусство костюма   и текстиля;очная;15;341;0;570 000;Рисунок, Русский язык, Математика база
54.03.03;Искусство костюма   и текстиля;очно-заочная;0;0;216;345 000;Рисунок, Русский язык, Математика база
54.03.03;Искусство костюма   и текстиля;очная;15;315;235;570 000;Рисунок, Русский язык, Математика база
54.03.03;Искусство костюма   и текстиля;очная;15;296;0;570 000;Рисунок, Русский язык, Математика база
54.03.03;Искусство костюма   и текстиля;очная;12;320;191;570 000;Рисунок, Русский язык, Математика база
54.03.03;Искусство костюма   и текстиля;очная;15;274;0;570 000;Рисунок, Русский язык, Математика база
54.03.04;Реставрация;очная;5;260;168;570 000;Композиция, Русский язык, Математика база
54.05.02;Живопись;очная;3;308;234;570 000;Рисунок, Русский язык, Математика база
